zp,descripcion,id_fecha,id_Grupo,id_Asunto,id_Hora,colonia,id_Lugar,calle2
414.0,POLICIA COMERCIAL,2022-03-02,ROBO A NEGOCIO,ROBO A TIENDAS DE CONVENIENCIA,21:29,USOS MIXTOS,EJERCITO NACIONAL,PASEO DE LA VICTORIA
511.0,UNEVID,2022-03-03,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,01:15,HORIZONTES DEL SUR,ARQUITECTO ENRIQUE DEL MORAL,BECERROS
521.0,GOE,2022-03-02,ASALTO OTROS,ASALTO C ARMA BLANCA A TRANSEUNTES,16:16,PARAJES DEL SUR FRACCIONAMIENTO,PUERTO ARGENTINO,CAMPO GRANDE
413.0,ORIENTE,2022-03-06,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,04:00,PLAZUELA DE ACUÑA,VALLE DEL RODANO,TECNOLOGICO
522.0,CANINA,2022-03-06,CARTUCHOS DECOMISADOS,CARTUCHOS DECOMISADOS,12:39,LAS HACIENDAS,HACIENDA LAS MERCEDES,HACIENDA LA TAPIA
522.0,CANINA,2022-03-06,ROBO A NEGOCIO,ROBO A NEGOCIO,12:39,LAS HACIENDAS,HACIENDA LAS MERCEDES,HACIENDA LA TAPIA
516.0,GOE,2022-03-04,INTENTO DE ROBO,INTENTO DE ROBO,15:35,PARAJES DE SAN ISIDRO,VOLCAN LA JOYA,PASEO DE SAN ISIDRO
301.0,POLICIA COMERCIAL,2022-01-04,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,14:56,ANAHUAC,TULA,MATACHI
514.0,SUR,2022-01-02,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,15:40,PARAJES DE ORIENTE,CUSTODIA DE LA REPUBLICA,PUERTO TARENTO
711.0,GOE,2022-01-02,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,18:30,PUERTO CASTILLA,PUERTO VALLARTA,PORTAL DEL MANZANO
304.0,POLICIA COMERCIAL,2022-01-05,LESIONES ARMA BLANCA,LESIONES C ARMA BLANCA,15:41,AZTECA,XOCHIMILCAS,CHAMULAS
517.0,SUR,2022-01-09,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,11:12,LOMAS DEL DESIERTO I,NARIHUA,DESIERTO DE TAKLAMANKAN
302.0,POLICIA COMERCIAL,2022-01-09,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,15:20,SANTA ROSA,BELGICA,SANTANDER
506.0,SUR,2022-01-10,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,02:25,EL FORTIN,LULU CREEL,ARBOL DE JOSUE
515.0,GOE,2022-01-04,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,19:20,OLIVIA ESPINOZA DE BERMUDEZ,MESA CENTRAL,SONETO 156
522.0,VALLE,2022-01-06,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,02:20,VALLE DE ALLENDE,VALLE DE SANTIAGO,JUAN JOSE ARREOLA
132.0,POLICIA COMERCIAL,2022-01-06,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,15:10,CHAVEÐA,MELCHOR MUZQUIZ,JUAN MEDINA
521.0,SUR,2022-01-08,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,02:00,PARAJES DEL SUR FRACCIONAMIENTO,MAR DEL SUR,PASEO DEL SUR
706.0,PONIENTE,2022-01-16,ROBO A NEGOCIO,ROBO A NEGOCIO,20:24,"PATRIA I, II, III",PUERTO CORTEZ,PUERTO DE PALOS
302.0,POLICIA COMERCIAL,2022-01-14,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,20:30,CONSTITUCION,CHECOSLOVAQUIA,RAMON ALCAZAR
515.0,UNEVID,2022-01-14,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,02:25,CARLOS CASTILLO PERAZA,DON MANUEL TALAMAS CAMANDARI,MESA CENTRAL
514.0,UNEVID,2022-01-18,VIOLACION,VIOLACION,05:20,PARAJES DE ORIENTE,DESIERTO DE KAU,DESIERTO DE BAJA CALIFORNIA
514.0,UNEVID,2022-01-18,VIOLACION,VIOLACION,05:20,PARAJES DE ORIENTE,DESIERTO DE KAU,DESIERTO DE BAJA CALIFORNIA
301.0,POLICIA COMERCIAL,2022-01-16,ROBO OTROS,ROBO DE ACCESORIOS A VEHICULO,14:51,SANTA ROSA,SANDERS,AYUNTAMIENTO
612.0,SUR,2022-01-09,ROBO A CASA HABITACION,ROBO A CASA HABITACION,17:05,VILLAS DEL VALLE,VALLE DE JUAREZ,MIGUEL HIDALGO
415.0,ORIENTE,2022-01-07,ASALTO ARMA DE FUEGO,ASALTO C ARMA DE PLASTICO,10:20,USOS MIXTOS,TECNOLOGICO,MISION SANTA ANA
